left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trade_count,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
15,20,0.006,15,4,10,30,1.5,2910.0,43.68530020703933,1.1636029411764706,0.26921687408471356,3850.0,9.213250517598343,966,"{'1yil.csv': 5650.0, '2yil.csv': 4800.0, '3yil.csv': -1550.0}",0.45302013422818793,0.7761147489865918,0.760425980755642,0.7412709843604949,0.6257775995542713,0.6850393700787402,0.7604259807556424,153.30577500508855,38.0,46.0,13.0,13.0,44.0,36.0,13.0
25,20,0.004,30,3,20,15,1.5,3565.0,43.67909238249595,1.1633093525179856,0.3844416208343522,3300.0,9.19773095623987,1234,"{'1yil.csv': 5650.0, '2yil.csv': 4850.0, '3yil.csv': 850.0}",0.5472195589645255,0.6925475522294979,0.7593775681085083,0.7401673890378119,0.8541972738917265,0.7716535433070866,0.7593775681085072,154.859438378816,32.0,62.0,14.0,14.0,14.0,23.0,14.0
20,15,0.002,15,2,15,25,1.5,5020.0,43.61065796628603,1.1600771456123433,0.42134202007760896,4500.0,9.026644915715062,1839,"{'1yil.csv': 4850.0, '2yil.csv': 8100.0, '3yil.csv': 3650.0}",0.7564717162032598,0.503897723729342,0.7478199754361775,0.728017572211037,0.9273480285328359,0.5826771653543307,0.7478199754361768,152.594943231318,11.0,84.0,15.0,15.0,6.0,70.0,15.0
15,15,0.012,30,2,15,25,1.5,1975.0,43.58974358974359,1.1590909090909092,0.2871168564343615,2900.0,8.974358974358974,780,"{'1yil.csv': 1600.0, '2yil.csv': 50.0, '3yil.csv': 5350.0}",0.31855225311601154,0.8341128780792018,0.744287836806811,0.7243103240573426,0.6612622350539419,0.8346456692913385,0.7442878368068103,150.29957310933906,54.0,34.0,16.0,16.0,39.0,11.0,16.0
15,20,0.002,15,4,10,15,1.5,4740.0,43.56617647058824,1.1579804560260587,0.394666550037314,4850.0,8.915441176470589,1632,"{'1yil.csv': 8950.0, '2yil.csv': 7900.0, '3yil.csv': -2300.0}",0.716203259827421,0.5684440286872466,0.740307687946882,0.7201361477974281,0.8744670081679825,0.5275590551181102,0.7403076879468811,151.12356958764772,15.0,75.0,17.0,17.0,13.0,77.0,17.0
15,10,0.004,15,2,15,25,1.5,5700.0,43.5390549662488,1.1567036720751493,0.4105380421465293,4650.0,8.847637415621987,2074,"{'1yil.csv': 6800.0, '2yil.csv': 10600.0, '3yil.csv': 950.0}",0.8542665388302972,0.43062051761771125,0.7357272543408647,0.7153367362548579,0.9059303974233625,0.5590551181102362,0.7357272543408638,150.65234075803477,3.0,89.0,18.0,18.0,7.0,74.0,18.0
25,25,0.006,15,4,15,15,1.5,1585.0,43.53146853146853,1.1563467492260062,0.23290279341889847,2900.0,8.828671328671328,572,"{'1yil.csv': 2650.0, '2yil.csv': 1850.0, '3yil.csv': 550.0}",0.262464046021093,0.8989710009354537,0.7344460141713491,0.7139950686682905,0.553789153378098,0.8346456692913385,0.7344460141713485,148.19697495167182,66.0,17.0,19.0,19.0,57.0,11.0,19.0
20,25,0.002,15,4,5,15,1.5,3478.3333333333335,43.495610534716675,1.1546610169491525,0.31192124478434397,3900.0,8.7390263367917,1253,"{'1yil.csv': 4850.0, '2yil.csv': 7050.0, '3yil.csv': -950.0}",0.5347555129434325,0.686623012160898,0.7283901121346831,0.707658426559457,0.7104340533383724,0.6771653543307087,0.7283901121346834,148.04840969904515,33.0,64.0,20.0,20.0,29.0,38.0,20.0
25,20,0.004,15,3,15,30,1.5,2705.0,43.48717948717949,1.1542649727767695,0.3625140941243898,3150.0,8.717948717948717,975,"{'1yil.csv': 4800.0, '2yil.csv': 3550.0, '3yil.csv': 150.0}",0.4235378715244487,0.7733083879014655,0.726966228968398,0.7061697025110787,0.8107284995927613,0.7952755905511811,0.7269662289683974,148.52714694387012,43.0,47.0,21.0,21.0,16.0,18.0,21.0
20,25,0.002,30,4,5,30,1.5,3850.0,43.466107617051016,1.15327564894932,0.3261136778088711,4050.0,8.665269042627534,1431,"{'1yil.csv': 4200.0, '2yil.csv': 7900.0, '3yil.csv': 300.0}",0.5882070949185043,0.631119426255067,0.7234074919282211,0.7024508492208108,0.738568903020989,0.6535433070866141,0.7234074919282204,147.18190036056865,28.0,69.0,22.0,22.0,27.0,44.0,22.0
