left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trades_per_day,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
20,10,0.004,15,4,20,30,1.5,8000.0,47.44186046511628,1.3539823008849559,0.7097210685889712,1050.0,18.6046511627907,1.178082191780822,{'1yil.csv': 8000.0},0.7777777777777778,0.3254637436762226,0.48726642833450023,0.4136291600633916,0.7162555048791954,0.9032258064516129,0.4872664283345004,67.98849377331942,28.0,326.0,131.0,131.0,28.0,101.0,131.0
10,25,0.01,15,3,10,15,1.5,4400.0,50.602409638554214,1.5365853658536586,0.7160943252546816,1150.0,26.50602409638554,0.4547945205479452,{'1yil.csv': 4400.0},0.42995169082125606,0.10286677908937605,0.6912913142267959,0.6243670519114066,0.7226281575156142,0.8817204301075269,0.6912913142267962,67.76796609372184,356.0,832.0,42.0,42.0,24.0,141.0,42.0
20,15,0.012,15,2,20,30,1.5,3000.0,51.42857142857142,1.588235294117647,0.6649226921192996,850.0,28.571428571428573,0.2876712328767123,{'1yil.csv': 3000.0},0.2946859903381642,0.05143338954468802,0.7446230473171832,0.6839750163139741,0.6714613742030053,0.946236559139785,0.7446230473171837,67.25212155088649,622.0,957.0,32.0,32.0,52.0,27.0,32.0
10,10,0.002,15,4,20,25,1.5,10100.0,44.90291262135923,1.222466960352423,0.6889992425653216,1550.0,12.257281553398059,2.2575342465753425,{'1yil.csv': 10100.0},0.9806763285024155,0.657672849915683,0.32336815759645926,0.2618504064359536,0.695535642779259,0.7956989247311828,0.3233681575964591,67.09277944385555,3.0,31.0,404.0,404.0,39.0,299.0,404.0
15,20,0.006,15,4,20,15,1.5,5600.0,50.0,1.5,0.5829420850550157,1100.0,25.0,0.6136986301369863,{'1yil.csv': 5600.0},0.5458937198067633,0.15177065767284992,0.6524035921817221,0.5821447437929214,0.5894885369008092,0.8924731182795699,0.6524035921817221,66.9901559721878,186.0,712.0,47.0,47.0,127.0,116.0,47.0
20,25,0.01,15,4,20,20,1.5,2350.0,52.702702702702695,1.6714285714285715,0.48515288248624344,950.0,31.756756756756758,0.20273972602739726,{'1yil.csv': 2350.0},0.2318840579710145,0.02529510961214165,0.8268728316271892,0.7799864161195382,0.4917086023634155,0.9247311827956989,0.8268728316271898,66.90404992973384,759.0,990.0,21.0,21.0,268.0,58.0,21.0
15,20,0.004,15,2,5,20,1.5,8550.0,47.56637168141593,1.360759493670886,0.7195945366642443,2050.0,18.91592920353982,1.2383561643835617,{'1yil.csv': 8550.0},0.8309178743961353,0.3440134907251265,0.4953040779022855,0.42145055846434004,0.7261280371905035,0.6881720430107527,0.4953040779022855,66.65046215536354,13.0,296.0,122.0,122.0,19.0,493.0,122.0
10,20,0.01,15,2,15,20,1.5,4600.0,49.735449735449734,1.4842105263157894,0.7491278785571133,1000.0,24.33862433862434,0.5178082191780822,{'1yil.csv': 4600.0},0.4492753623188406,0.12225969645868465,0.6353259153047847,0.5639224844996803,0.7556585800428629,0.9139784946236559,0.6353259153047848,66.55920311641752,324.0,792.0,60.0,60.0,13.0,77.0,60.0
15,20,0.002,15,4,15,15,1.5,8050.0,47.04595185995623,1.3326446280991735,0.6933078239437018,1200.0,17.61487964989059,1.252054794520548,{'1yil.csv': 8050.0},0.782608695652174,0.3482293423271501,0.46170909523859033,0.38900385500299056,0.6998438158092084,0.8709677419354839,0.4617090952385906,66.43266357251665,27.0,288.0,157.0,157.0,36.0,170.0,157.0
20,25,0.012,15,3,15,15,1.5,2150.0,52.112676056338024,1.6323529411764706,0.552372620204111,700.0,30.281690140845072,0.19452054794520549,{'1yil.csv': 2150.0},0.21256038647342995,0.022765598650927487,0.7887844765369817,0.7348901525745005,0.5589219692895999,0.978494623655914,0.788784476536982,66.28474957082709,790.0,993.0,25.0,25.0,169.0,3.0,25.0
