open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-29 09:00:00+03:00,127.7300,127.7500,126.5100,126.7300,249209,2025-03-29 09:14:59.999000+03:00,31644687.8140,18112,100303,12737628.0900,0
2025-03-29 09:15:00+03:00,126.7300,126.8900,126.2100,126.8100,282169,2025-03-29 09:29:59.999000+03:00,35699886.7000,20225,142555,18038685.8500,0
2025-03-29 09:30:00+03:00,126.8200,127.4500,126.7600,127.3500,132551,2025-03-29 09:44:59.999000+03:00,16850148.8500,12006,83513,10615594.4500,0
2025-03-29 09:45:00+03:00,127.3500,127.3700,126.7800,126.9200,87153,2025-03-29 09:59:59.999000+03:00,11073732.8900,9224,36969,4697046.9200,0
2025-03-29 10:00:00+03:00,126.9300,127.0800,126.2300,126.6400,158043,2025-03-29 10:14:59.999000+03:00,20009569.4900,13118,65764,8327804.2600,0
2025-03-29 10:15:00+03:00,126.6400,127.0700,126.3100,126.9900,113685,2025-03-29 10:29:59.999000+03:00,14410160.0800,11011,66601,8443877.3600,0
2025-03-29 10:30:00+03:00,127.0000,127.0000,126.0600,126.1100,199508,2025-03-29 10:44:59.999000+03:00,25212099.2900,14782,77877,9845763.7100,0
2025-03-29 10:45:00+03:00,126.1200,126.4600,125.3400,126.3200,438257,2025-03-29 10:59:59.999000+03:00,55147993.5400,28213,202386,25469664.7000,0
2025-03-29 11:00:00+03:00,126.3300,126.8500,126.1700,126.6600,216582,2025-03-29 11:14:59.999000+03:00,27404813.4000,16313,106639,13493618.5900,0
2025-03-29 11:15:00+03:00,126.6700,126.9200,126.2200,126.4500,127707,2025-03-29 11:29:59.999000+03:00,16170359.1500,10550,51050,6464324.5100,0
2025-03-29 11:30:00+03:00,126.4600,127.0300,126.4500,126.7200,113511,2025-03-29 11:44:59.999000+03:00,14394938.7000,10103,60674,7695115.2600,0
2025-03-29 11:45:00+03:00,126.7200,126.9800,126.5200,126.7900,93333,2025-03-29 11:59:59.999000+03:00,11831580.7000,8392,53606,6795603.2700,0
2025-03-29 12:00:00+03:00,126.7900,127.0200,126.5400,126.5800,92717,2025-03-29 12:14:59.999000+03:00,11749625.1700,9741,54575,6916065.2400,0
2025-03-29 12:15:00+03:00,126.5700,126.8600,126.4000,126.5900,92047,2025-03-29 12:29:59.999000+03:00,11654238.1400,8771,48661,6161833.0200,0
2025-03-29 12:30:00+03:00,126.5900,126.8300,125.5200,125.8000,206858,2025-03-29 12:44:59.999000+03:00,26088772.7800,16988,86669,10934800.3800,0
2025-03-29 12:45:00+03:00,125.8100,126.6500,125.6200,126.6300,247921,2025-03-29 12:59:59.999000+03:00,31301074.4800,18899,131549,16610988.9000,0
2025-03-29 13:00:00+03:00,126.6300,126.6900,126.0000,126.4500,148377,2025-03-29 13:14:59.999000+03:00,18747233.3500,11052,71226,8998687.8700,0
2025-03-29 13:15:00+03:00,126.4600,126.7900,126.3300,126.5000,239237,2025-03-29 13:29:59.999000+03:00,30281380.6700,12987,119741,15155185.5600,0
2025-03-29 13:30:00+03:00,126.4900,126.5000,125.8300,126.1100,198404,2025-03-29 13:44:59.999000+03:00,25021952.0100,13873,79987,10086756.0200,0
2025-03-29 13:45:00+03:00,126.1200,126.1800,125.5500,125.8200,253910,2025-03-29 13:59:59.999000+03:00,31944331.3900,15473,120240,15127152.3200,0
2025-03-29 14:00:00+03:00,125.8200,125.9700,125.5500,125.9600,191410,2025-03-29 14:14:59.999000+03:00,24078051.5400,13423,104157,13102189.7100,0
2025-03-29 14:15:00+03:00,125.9700,125.9900,124.9000,125.0500,550095,2025-03-29 14:29:59.999000+03:00,68903301.1800,35014,194305,24341051.2200,0
2025-03-29 14:30:00+03:00,125.0600,125.1000,124.2400,124.5200,499708,2025-03-29 14:44:59.999000+03:00,62298263.6090,35444,212352,26476957.6400,0
2025-03-29 14:45:00+03:00,124.5300,125.3600,124.5300,125.2300,255703,2025-03-29 14:59:59.999000+03:00,31950235.5700,19137,145167,18142118.6500,0
2025-03-29 15:00:00+03:00,125.2300,125.4900,124.9100,125.3000,221257,2025-03-29 15:14:59.999000+03:00,27712422.7200,17245,108071,13538464.7800,0
2025-03-29 15:15:00+03:00,125.3100,125.8200,125.2600,125.6100,180053,2025-03-29 15:29:59.999000+03:00,22617229.1900,12717,92592,11631217.1100,0
2025-03-29 15:30:00+03:00,125.6000,125.7900,125.2200,125.4900,110613,2025-03-29 15:44:59.999000+03:00,13873116.0800,9842,44622,5596737.1000,0
2025-03-29 15:45:00+03:00,125.4900,125.5700,125.1700,125.4400,72575,2025-03-29 15:59:59.999000+03:00,9101414.5300,7390,38995,4890467.9900,0
2025-03-29 16:00:00+03:00,125.4300,126.2800,125.4100,126.1200,420166,2025-03-29 16:14:59.999000+03:00,52942625.9100,18311,194988,24565072.1100,0
2025-03-29 16:15:00+03:00,126.1200,126.2800,125.9700,126.0900,132313,2025-03-29 16:29:59.999000+03:00,16689686.4700,9944,65653,8281742.0100,0
2025-03-29 16:30:00+03:00,126.0900,126.1400,125.7100,125.9000,165801,2025-03-29 16:44:59.999000+03:00,20877043.3500,9449,87131,10973560.1700,0
2025-03-29 16:45:00+03:00,125.9000,126.6800,125.8600,126.6600,262373,2025-03-29 16:59:59.999000+03:00,33140762.8900,13930,186683,23578561.5800,0
2025-03-29 17:00:00+03:00,126.6600,126.7400,126.0000,126.1100,228819,2025-03-29 17:14:59.999000+03:00,28909042.4640,14457,124541,15741878.8640,0
