Sıra,Toplam Skor,LEFT,RIGHT,MANIPULATION_THRESHOLD,MAX_CANDLES,CONSECUTIVE_CANDLES,MIN_CANDLES_2ND,MAX_CANDLES_2ND,RR_RATIO,Toplam Kâr (USD),Toplam Kâr Sıra %,Ortalama Kâr (USD),Ortalama Kâr Sıra %,Gün Başına İşlem Sayısı,Gün Başına İşlem Sayısı Sıra %,Başarı Oranı (%),Başarı Oranı Sıra %,Profit Factor,Profit Factor Sıra %,Sharpe Ratio,Sharpe Ratio Sıra %,Maksimum Düşüş (USD),Maksimum Düşüş Sıra %
11,78.51,10,25,0.01,15,4,20,25,1.5,3900.0,56.95695695695696,36.79,99.4994994994995,0.29,4.404404404404405,54.72,99.4994994994995,1.81,99.4994994994995,0.6,89.28928928928929,1100.0,88.48848848848849
12,78.49,10,10,0.01,15,4,20,15,1.5,6650.0,91.29129129129129,32.28,98.3983983983984,0.56,25.125125125125123,52.91,98.3983983983984,1.69,98.3983983983984,0.62,91.4914914914915,1300.0,79.47947947947948
13,78.49,10,10,0.01,15,4,20,20,1.5,6650.0,91.29129129129129,32.28,98.3983983983984,0.56,25.125125125125123,52.91,98.3983983983984,1.69,98.3983983983984,0.62,91.4914914914915,1300.0,79.47947947947948
14,77.33,20,10,0.01,15,4,15,20,1.5,5250.0,77.97797797797797,31.82,98.09809809809809,0.45,16.616616616616618,52.73,98.09809809809809,1.67,98.09809809809809,0.71,97.4974974974975,900.0,96.49649649649649
15,77.07,20,15,0.01,15,4,15,30,1.5,4350.0,63.96396396396396,33.72,98.7987987987988,0.35,9.40940940940941,53.49,98.7987987987988,1.72,98.7987987987988,0.65,92.992992992993,800.0,98.3983983983984
16,76.65,10,25,0.01,15,3,20,15,1.5,4200.0,61.56156156156156,34.15,98.998998998999,0.34,7.707707707707708,53.66,98.998998998999,1.74,98.998998998999,0.69,96.3963963963964,1200.0,83.08308308308308
17,76.65,10,25,0.01,15,3,20,20,1.5,4200.0,61.56156156156156,34.15,98.998998998999,0.34,7.707707707707708,53.66,98.998998998999,1.74,98.998998998999,0.69,96.3963963963964,1200.0,83.08308308308308
18,76.58,25,20,0.004,15,4,20,30,1.5,6700.0,92.1921921921922,26.48,95.7957957957958,0.69,34.234234234234236,50.59,95.7957957957958,1.54,95.7957957957958,0.87,99.69969969969969,850.0,97.3973973973974
19,76.48,20,15,0.01,15,4,20,15,1.5,3900.0,56.95695695695696,35.14,99.09909909909909,0.3,4.804804804804805,54.05,99.09909909909909,1.76,99.09909909909909,0.59,88.08808808808809,1000.0,92.3923923923924
20,76.16,15,15,0.012,15,4,20,30,1.5,3100.0,40.34034034034034,36.9,99.5995995995996,0.23,1.9019019019019021,54.76,99.5995995995996,1.82,99.5995995995996,0.47,70.07007007007007,700.0,99.7997997997998
21,72.92,15,25,0.01,15,3,10,25,1.5,3900.0,56.95695695695696,29.77,97.1971971971972,0.36,10.21021021021021,51.91,97.1971971971972,1.62,97.1971971971972,0.78,98.8988988988989,750.0,98.998998998999
22,72.81,15,15,0.01,15,3,20,15,1.5,4450.0,65.36536536536536,31.12,97.7977977977978,0.39,12.612612612612612,52.45,97.7977977977978,1.65,97.7977977977978,0.6,89.08908908908909,900.0,96.49649649649649
23,72.53,10,20,0.01,15,3,10,20,1.5,5400.0,79.07907907907908,27.55,96.5965965965966,0.54,23.523523523523522,51.02,96.5965965965966,1.56,96.5965965965966,0.8,99.2992992992993,1200.0,83.08308308308308
24,72.53,10,20,0.01,15,3,10,15,1.5,5400.0,79.07907907907908,27.55,96.5965965965966,0.54,23.523523523523522,51.02,96.5965965965966,1.56,96.5965965965966,0.8,99.2992992992993,1200.0,83.08308308308308
25,71.93,15,10,0.012,15,3,20,25,1.5,4050.0,59.15915915915916,30.68,97.69769769769769,0.36,10.41041041041041,52.27,97.69769769769769,1.64,97.69769769769769,0.61,89.88988988988989,750.0,98.998998998999
